Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
918HEL30,HPCL-MITTAL ENERGY LIMITED,9.1800,28/02/2030,107.1200,107.1200,8.2900,10.00,INE137K07042,1000000.00
955TMOTORPERP,TATA MOTORS FINANCE LIMITED,9.5500,31/12/9999,105.9500,105.9500,8.6200,10.00,INE601U08192,1000000.00
975PPTATAMFL,TATA MOTORS FINANCE LIMITED,9.7500,31/12/9999,104.7000,104.7000,8.6000,10.00,INE601U08168,1000000.00
975HLFL26A,HINDUJA LEYLAND FINANCE LIMITED,9.7500,18/09/2026,100.8100,100.8100,9.5500,10.00,INE146O08183,1000000.00
750TCHFL31,TATA CAPITAL HOUSING FINANCE LIMITED,7.5000,18/04/2031,101.5500,101.5500,7.2700,10.00,INE033L08296,1000000.00
IFSL23APR21,INCRED FINANCIAL SERVICES LIMITED,0.0000,20/10/2022,99.9700,99.9700,10.2200,10.00,INE945W07258,1000000.00
861REC34,RURAL ELECTRIFICATION CORPORATION LTD,8.6100,24/03/2034,138.8900,138.8900,4.5500,9.00,INE020B07IE0,1000.00
ICIC-MMP3-11,ICICI BANK LIMITED,0.0000,11/06/2023,86.6000,86.6000,7.0500,7.00,INE005A11382,100000.00
975MFSPL24,,9.7500,25/09/2024,103.0000,103.0000,9.1000,2.00,INE956L07035,100000.00
891IIFCL34,INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED,8.9100,22/01/2034,138.9500,138.9500,4.5500,1.51,INE787H07370,1000.00




NOTE:-"Trading price indicates price in per 100 basis"
