Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
936886,0SCUF24A    ,1150.00,1269.00,1150.00,1269.00,4.00,4,4838.00,INE722A07AD2,1000.00,,
936426,0SEFL22C    ,722.00,722.00,722.00,722.00,190.00,1,137180.00,INE881J07FQ8,1000.00,,
936666,0SEFL22E    ,640.00,640.00,640.00,640.00,190.00,1,121600.00,INE872A07VA7,1000.00,,
936798,0STF26      ,1210.00,1210.00,1210.00,1210.00,1.00,1,1210.00,INE721A07PH3,1000.00,,
935142,0STFC2021   ,2100.00,2100.00,2098.00,2100.00,252.00,4,529102.00,INE721A07HO6,1000.00,,
936240,0STFCL23    ,1297.00,1300.00,1294.25,1300.00,250.00,5,324393.00,INE721A07NZ0,1000.00,,
936704,1004JMFPL24 ,1021.00,1021.00,1021.00,1021.00,1.00,1,1021.00,INE523H07AK4,1000.00,10.04                    ,
936428,1005SEFL24  ,310.00,342.00,310.00,342.00,2.00,2,652.00,INE881J07FR6,1000.00,10.05                    ,
936758,1013DLSL24  ,962.00,967.00,958.00,967.00,94.00,15,90702.00,INE614X07183,1000.00,10.13                    ,
936398,1015EFL29   ,991.00,991.00,991.00,991.00,125.00,7,123875.00,INE804IA7014,1000.00,10.15                    ,
936486,1015MFL24   ,1070.00,1070.00,1070.00,1070.00,160.00,1,171200.00,INE522D07AX8,1000.00,10.15                    ,
957807,1015UPPCL25 ,1041100.00,1041100.00,1041100.00,1041100.00,2.00,1,2082200.00,INE540P07327,1000000.00,10.15                    ,
957810,1015UPPCL28 ,1060001.00,1060001.00,1060001.00,1060001.00,1.00,1,1060001.00,INE540P07350,1000000.00,10.15                    ,
936380,101JMFCSL23 ,1070.00,1070.00,1070.00,1070.00,200.00,1,214000.00,INE651J07663,1000.00,10.10                    ,
936388,1020EFL22   ,1012.25,1012.25,1008.50,1008.50,45.00,2,45476.00,INE804I075Z1,1000.00,10.20                    ,
936700,1020JMFPL22 ,1098.00,1110.00,1098.00,1100.00,211.00,9,232939.00,INE523H07AI8,1000.00,10.20                    ,
937087,1025EFIL25  ,965.01,965.01,965.01,965.01,50.00,1,48250.00,INE918K07FS2,1000.00,10.25                    ,
936384,1025JFCSL28 ,1089.30,1089.30,1083.00,1083.00,1091.00,14,1186469.00,INE651J07689,1000.00,10.25                    ,
