SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
532826,RAJ TELE    ,B ,Q,32.50,33.35,32.45,33.35,33.35,31.20,14,468,15209.00,,INE952H01027,01-Apr-21,,
532827,PAGE INDUSTR,A ,Q,30510.00,30714.50,29984.70,30166.15,29984.70,30336.15,404,829,25078621.00,,INE761H01022,01-Apr-21,,
532828,AMD INDUS   ,T ,Q,17.50,17.80,17.50,17.80,17.80,17.65,3,605,10589.00,,INE005I01014,01-Apr-21,,
532829,LEHAR       ,XT,Q,27.35,27.35,27.35,27.35,27.35,26.05,30,9832,268905.00,,INE976H01018,01-Apr-21,,
532830,ASTRAL POLY ,A ,Q,1647.00,1693.00,1635.05,1682.85,1686.05,1616.70,1351,26055,43130201.00,,INE006I01046,01-Apr-21,,
532832,INDBUL REAL ,A ,Q,82.00,90.90,81.50,88.25,88.25,81.25,11377,2284844,199820807.00,,INE069I01010,01-Apr-21,,
532834,CAMLINFINE  ,A ,Q,139.80,143.65,138.15,140.20,139.15,139.80,712,79464,11291439.00,,INE052I01032,01-Apr-21,,
532835,ICRA        ,A ,Q,3365.00,3383.05,3220.00,3322.10,3306.80,3284.05,254,973,3221920.00,,INE725G01011,01-Apr-21,,
532839,DISH TV     ,A ,Q,9.35,10.86,9.27,10.31,10.31,9.23,3597,12538389,122617705.00,,INE836F01026,01-Apr-21,,
532841,SAHYA INDU  ,X ,Q,294.60,295.00,288.30,294.05,295.00,286.85,85,2768,809013.00,,INE280H01015,01-Apr-21,,
532842,SREE RAYALA ,B ,Q,235.80,246.95,235.55,244.50,244.25,236.35,248,2887,700958.00,,INE917H01012,01-Apr-21,,
532843,FORTIS      ,A ,Q,202.00,204.00,198.05,202.10,202.10,199.00,605,44282,8883846.00,,INE061F01013,01-Apr-21,,
532845,TGBHOTELS   ,B ,Q,4.35,4.45,4.31,4.45,4.45,4.39,6,211,935.00,,INE797H01018,01-Apr-21,,
532847,HILTON MET  ,B ,Q,9.12,9.59,9.00,9.59,9.59,9.14,12,1264,11817.00,,INE788H01017,01-Apr-21,,
