SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
532839,DISH TV     ,A ,Q,9.20,10.80,8.85,10.00,10.00,9.27,4415,2143282,21026883.00,,INE836F01026,03-May-21,,
532841,SAHYA INDU  ,X ,Q,372.90,381.75,360.35,376.10,377.00,360.15,695,23809,8930264.00,,INE280H01015,03-May-21,,
532842,SREE RAYALA ,B ,Q,285.00,298.90,267.00,293.75,297.85,279.10,500,9351,2702997.00,,INE917H01012,03-May-21,,
532843,FORTIS      ,A ,Q,214.95,228.30,213.25,223.85,223.85,210.55,6278,618081,137262392.00,,INE061F01013,03-May-21,,
532845,TGBHOTELS   ,B ,Q,4.56,4.60,4.44,4.45,4.45,4.56,34,2769,12457.00,,INE797H01018,03-May-21,,
532847,HILTON MET  ,T ,Q,10.85,11.50,10.79,10.85,10.79,11.35,26,6022,66919.00,,INE788H01017,03-May-21,,
532848,DELTA CORP  ,A ,Q,149.90,156.00,147.60,154.25,154.00,150.20,2140,229786,35127537.00,,INE124G01033,03-May-21,,
532850,MIC ELECTRON,B ,Q,0.77,0.77,0.77,0.77,0.77,0.74,1,900,693.00,,INE287C01029,03-May-21,,
532851,INSECTCID   ,A ,Q,483.00,493.85,480.00,487.55,487.50,483.65,86,953,463295.00,,INE070I01018,03-May-21,,
532852,MCD HOLDING ,B ,Q,39.10,41.90,37.05,40.10,39.10,38.45,95,4765,187816.00,,INE836H01014,03-May-21,,
532853,ASAHI SONG  ,B ,Q,335.00,355.00,335.00,354.15,354.15,339.80,137,1401,491218.00,,INE228I01012,03-May-21,,
532854,NITIN FIRE  ,Z ,Q,0.62,0.62,0.59,0.60,0.60,0.60,11,13339,8180.00,,INE489H01020,03-May-21,,
532855,HARYA CAPFIN,X ,Q,31.80,31.80,31.80,31.80,31.80,30.30,9,1219,38764.00,,INE928H01019,03-May-21,,
532856,TIME TECHNO ,A ,Q,74.00,80.00,74.00,78.85,78.90,75.45,1627,185650,14434686.00,,INE508G01029,03-May-21,,
532859,HGSL        ,A ,Q,1701.60,1727.15,1693.95,1712.00,1705.00,1717.50,257,2086,3565386.00,,INE170I01016,03-May-21,,
532864,NELCAST     ,B ,Q,66.70,70.25,65.05,68.65,69.20,66.45,321,14460,984708.00,,INE189I01024,03-May-21,,
532865,MEGHMANI    ,A ,Q,141.05,153.40,140.60,148.50,148.50,141.05,5395,770476,114660689.00,,INE974H01013,03-May-21,,
532866,QUINTEGRA SO,T ,Q,0.85,0.85,0.85,0.85,0.85,0.89,5,3621,3077.00,,INE033B01011,03-May-21,,
532867,V2RETAIL    ,B ,Q,107.05,111.45,106.05,109.05,108.95,106.15,223,5443,591777.00,,INE945H01013,03-May-21,,
532868,DLF LIMITED ,A ,Q,243.10,248.80,241.75,247.90,247.95,247.65,3837,400628,98723475.00,,INE271C01023,03-May-21,,
532869,TARMAT      ,B ,Q,48.70,53.50,48.60,50.70,50.75,49.50,228,10741,539351.00,,INE924H01018,03-May-21,,
532870,ANKIT METAL ,B ,Q,1.03,1.03,0.99,1.01,1.01,0.99,19,7650,7726.00,,INE106I01010,03-May-21,,
532872,SUNPHA ADV  ,A ,Q,174.95,178.20,173.40,174.60,174.00,174.85,906,76186,13371922.00,,INE232I01014,03-May-21,,
532873,HOUSING DEV ,Z ,Q,4.76,4.96,4.75,4.96,4.96,4.73,118,104984,514690.00,,INE191I01012,03-May-21,,
532874,SURYACHAKRA ,Z ,Q,0.39,0.40,0.38,0.40,0.40,0.39,31,68731,26593.00,,INE274I01016,03-May-21,,
532875,ALLIED DIGIT,B ,Q,48.10,48.90,47.50,47.70,47.70,47.60,210,19588,940519.00,,INE102I01027,03-May-21,,
532878,ALPA LAB    ,T ,Q,52.25,52.25,52.25,52.25,52.25,55.00,150,14946,780928.00,,INE385I01010,03-May-21,,
532879,SIR SHADI LA,X ,Q,47.95,52.40,45.15,52.40,52.40,43.70,83,16185,831628.00,,INE117H01019,03-May-21,,
532880,OMAXE LTD   ,A ,Q,70.40,70.40,69.10,69.35,69.35,68.30,121,3139,217613.00,,INE800H01010,03-May-21,,
532884,REFEX       ,B ,Q,128.00,134.10,123.55,131.90,131.90,126.95,1010,39948,5261262.00,,INE056I01017,03-May-21,,
532885,CENTRAL BK  ,A ,Q,16.05,16.30,16.05,16.25,16.25,16.35,1482,784105,12706647.00,,INE483A01010,03-May-21,,
532887,NTL         ,B ,Q,0.82,0.82,0.82,0.82,0.82,0.82,2,150,123.00,,INE333I01036,03-May-21,,
532888,ASIAN GRANIT,A ,Q,156.85,157.95,154.15,154.80,154.80,156.85,631,22027,3429699.00,,INE022I01019,03-May-21,,
532889,K.P.R. MILL ,A ,Q,1410.00,1631.80,1397.05,1455.70,1455.70,1378.25,4635,33135,50328133.00,,INE930H01023,03-May-21,,
532890,TAKE SOLUT  ,A ,Q,50.00,51.60,50.00,51.25,51.25,50.55,674,94785,4840508.00,,INE142I01023,03-May-21,,
532891,PURAVANKARA ,B ,Q,65.00,69.70,65.00,68.20,68.95,66.40,625,18735,1275620.00,,INE323I01011,03-May-21,,
532892,MOTILALOFS  ,A ,Q,644.00,673.50,630.00,646.60,647.80,638.45,3030,39298,25656799.00,,INE338I01027,03-May-21,,
532893,VTM LTD     ,X ,Q,25.30,25.35,24.15,24.70,24.70,24.80,111,19925,495163.00,,INE222F01029,03-May-21,,
532894,IWIND ENERGY,B ,Q,3.56,3.56,3.45,3.52,3.52,3.48,23,1967,6956.00,,INE227G01018,03-May-21,,
