tradingsymbol,amc,name,purchase_allowed,redemption_allowed,minimum_purchase_amount,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_redemption_quantity,redemption_quantity_multiplier,dividend_type,scheme_type,plan,settlement_type,last_price,last_price_date
INF204K01UV2,NipponIndiaMutualFund_MF,Nippon India Liquid Fund - Retail Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1215.5246,2021-04-08
INF204K01ZH0,NipponIndiaMutualFund_MF,Nippon India Liquid Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,direct,T1,5036.2099,2021-04-08
INF204K01ZI8,NipponIndiaMutualFund_MF,Nippon India Liquid Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,1589.2735,2021-04-08
INF204K01ZK4,NipponIndiaMutualFund_MF,Nippon India Liquid Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,1005.9428,2021-04-08
INF846K01354,AXISMUTUALFUND_MF,Axis Liquid Fund - Retail Plan,0,0,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,2127.1008,2021-04-08
INF846K01370,AXISMUTUALFUND_MF,Axis Liquid Fund - Retail Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1000.8945,2021-04-08
INF846K01396,AXISMUTUALFUND_MF,Axis Liquid Fund - Retail Plan,0,0,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1001.8252,2021-04-08
INF846K01412,AXISMUTUALFUND_MF,Axis Liquid Fund,0,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,regular,T1,2274.375,2021-04-08
INF846K01420,AXISMUTUALFUND_MF,Axis Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,1001.3998,2021-04-08
INF846K01438,AXISMUTUALFUND_MF,Axis Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1002.3444,2021-04-08
INF846K01446,AXISMUTUALFUND_MF,Axis Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,1002.3444,2021-04-08
INF846K01453,AXISMUTUALFUND_MF,Axis Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1002.5864,2021-04-08
INF846K01461,AXISMUTUALFUND_MF,Axis Liquid Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,1002.5864,2021-04-08
INF846K01CX4,AXISMUTUALFUND_MF,Axis Liquid Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,direct,T1,2286.4814,2021-04-08
INF846K01CY2,AXISMUTUALFUND_MF,Axis Liquid Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,1002.0225,2021-04-08
INF846K01DB8,AXISMUTUALFUND_MF,Axis Liquid Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,1002.3503,2021-04-08
INF179K01442,HDFCMutualFund_MF,HDFC Low Duration Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,regular,T1,45.0549,2021-04-07
INF179K01459,HDFCMutualFund_MF,HDFC Low Duration Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.1489,2021-04-07
INF179K01467,HDFCMutualFund_MF,HDFC Low Duration Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,reinvest,Debt,regular,T1,10.1489,2021-04-07
INF179K01VF7,HDFCMutualFund_MF,HDFC Low Duration Fund - Direct Plan,1,1,5000.0,0.01,1000.0,100.0,0.001,growth,Debt,direct,T1,47.6277,2021-04-07
INF179K01VG5,HDFCMutualFund_MF,HDFC Low Duration Fund - Direct Plan,1,1,5000.0,0.01,1000.0,100.0,0.001,payout,Debt,direct,T1,10.1527,2021-04-07
INF179K01582,HDFCMutualFund_MF,HDFC Flexi Cap Fund - Regular Plan,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Equity - Flexi Cap,regular,T3,47.411,2021-04-07
INF179K01590,HDFCMutualFund_MF,HDFC Flexi Cap Fund - Regular Plan,0,1,5000.0,0.01,1000.0,0.001,0.001,reinvest,Equity - Flexi Cap,regular,T3,47.411,2021-04-07
INF179K01608,HDFCMutualFund_MF,HDFC Flexi Cap Fund - Regular Plan,0,1,5000.0,0.01,1000.0,0.001,0.001,growth,Equity - Flexi Cap,regular,T3,803.678,2021-04-07
INF179K01UT0,HDFCMutualFund_MF,HDFC Flexi Cap Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Equity - Flexi Cap,direct,T3,854.414,2021-04-07
INF179K01VL5,HDFCMutualFund_MF,HDFC Flexi Cap Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Equity - Flexi Cap,direct,T3,52.603,2021-04-07
INF846K01164,AXISMUTUALFUND_MF,Axis Bluechip Fund,0,1,5000.0,1.0,100.0,0.001,0.001,growth,Equity,regular,T3,39.28,2021-04-08
INF846K01172,AXISMUTUALFUND_MF,Axis Bluechip Fund,0,1,5000.0,1.0,100.0,0.001,0.001,payout,Equity,regular,T3,17.26,2021-04-08
INF846K01180,AXISMUTUALFUND_MF,Axis Bluechip Fund,0,1,5000.0,1.0,100.0,0.001,0.001,reinvest,Equity,regular,T3,17.26,2021-04-08
INF846K01DN3,AXISMUTUALFUND_MF,Axis Bluechip Fund - Direct Plan,1,1,5000.0,1.0,100.0,0.001,0.001,payout,Equity,direct,T3,20.19,2021-04-08
INF846K01DP8,AXISMUTUALFUND_MF,Axis Bluechip Fund - Direct Plan,1,1,5000.0,1.0,100.0,0.001,0.001,growth,Equity,direct,T3,43.29,2021-04-08
INF769K01010,MIRAEASSET,Mirae Asset Large Cap Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,66.18,2021-04-08
INF769K01028,MIRAEASSET,Mirae Asset Large Cap Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,19.977,2021-04-08
INF769K01036,MIRAEASSET,Mirae Asset Large Cap Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,19.977,2021-04-08
INF769K01AX2,MIRAEASSET,Mirae Asset Large Cap Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,71.435,2021-04-08
INF769K01AY0,MIRAEASSET,Mirae Asset Large Cap Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,43.997,2021-04-08
INF109K013N3,ICICIPrudentialMutualFund_MF,ICICI Prudential Short Term Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,48.7639,2021-04-08
INF109K014N1,ICICIPrudentialMutualFund_MF,ICICI Prudential Short Term Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,12.7122,2021-04-08
INF109K01654,ICICIPrudentialMutualFund_MF,ICICI Prudential Short Term  Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,45.9923,2021-04-08
INF109K01WL0,ICICIPrudentialMutualFund_MF,ICICI Prudential Short Term Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,12.0965,2021-04-08
INF109KA1X10,ICICIPrudentialMutualFund_MF,ICICI Prudential Short Term Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,13.233,2021-04-08
INF109KA1X36,ICICIPrudentialMutualFund_MF,ICICI Prudential Short Term Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,13.4579,2021-04-08
INF194KA1L81,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,regular,T1,15.0658,2021-04-08
INF194KA1L99,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.1563,2021-04-08
INF194KA1M23,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,direct,T1,15.3122,2021-04-08
INF194KA1M31,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.1586,2021-04-08
INF194KA1R28,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.6234,2021-04-08
INF194KA1R51,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.4546,2021-04-08
INF194KA1R85,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.7992,2021-04-08
INF194KA1S19,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.1575,2021-04-08
INF194KA1S43,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.3778,2021-04-08
INF194KA1S76,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.4114,2021-04-08
INF194KA1T00,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,11.3729,2021-04-08
INF194KA1T34,IDFCMUTUALFUND_MF,IDFC Corporate Bond Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.1601,2021-04-08
INF200K01636,SBIMutualFund_MF,SBI Savings Fund,0,1,500.0,1.0,500.0,1.0,0.001,growth,Debt,regular,T1,32.5951,2021-04-08
INF200K01644,SBIMutualFund_MF,SBI Savings Fund,0,1,500.0,1.0,500.0,50.0,0.001,payout,Debt,regular,T1,12.8527,2021-04-08
INF200K01669,SBIMutualFund_MF,SBI Savings Fund,0,1,500.0,1.0,500.0,50.0,0.001,payout,Debt,regular,T1,12.129,2021-04-08
INF200K01SX0,SBIMutualFund_MF,SBI Savings Fund - Direct Plan,1,1,500.0,1.0,500.0,1.0,0.001,payout,Debt,direct,T1,13.5656,2021-04-08
INF200K01SZ5,SBIMutualFund_MF,SBI Savings Fund - Direct Plan,1,1,500.0,1.0,500.0,1.0,0.001,growth,Debt,direct,T1,34.225,2021-04-08
INF200K01TA6,SBIMutualFund_MF,SBI Savings Fund - Direct Plan,1,1,500.0,1.0,500.0,1.0,0.001,payout,Debt,direct,T1,12.2922,2021-04-08
INF200K01TB4,SBIMutualFund_MF,SBI Savings Fund - Direct Plan,0,1,500.0,1.0,500.0,1.0,0.001,reinvest,Debt,direct,T1,12.2922,2021-04-08
INF209K01BO6,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Frontline Equity Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Equity,regular,T3,29.4,2021-04-08
INF209K01BR9,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Frontline Equity Fund,0,1,100.0,1.0,100.0,0.001,0.001,growth,Equity,regular,T3,284.79,2021-04-08
INF209K01EC5,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Frontline Equity Fund,0,1,100.0,1.0,100.0,0.001,0.001,reinvest,Equity,regular,T3,29.4,2021-04-08
INF209K01YX9,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Equity,direct,T3,68.22,2021-04-08
INF209K01YY7,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Equity,direct,T3,305.8,2021-04-08
INF109K010C2,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,10.2478,2021-04-08
INF109K014B6,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,12.2066,2021-04-08
INF109K016B1,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,direct,T1,23.5673,2021-04-08
INF109K017B9,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,10.2474,2021-04-08
INF109K019B5,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,14.9584,2021-04-08
INF109K01CQ1,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,regular,T1,22.7449,2021-04-08
INF109K01SJ2,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.2568,2021-04-08
INF109K01SK0,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.4017,2021-04-08
INF109K01SL8,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.3187,2021-04-08
INF109K01SM6,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,reinvest,Debt,regular,T1,10.3187,2021-04-08
INF109K01SN4,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.8201,2021-04-08
INF109KA1N12,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,12.6189,2021-04-08
INF109KA1N38,ICICIPrudentialMutualFund_MF,ICICI Prudential Corporate Bond Fund - Direct Plan,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,12.8444,2021-04-08
INF179K01BC6,HDFCMutualFund_MF,HDFC Top 100 Fund - Regular Plan,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Equity,regular,T3,43.914,2021-04-07
